Name,Age,Team,Pos,G,Tck,Solo,Asst,TFL,Sack,PBU,INT,INT TD,FF,FR,FRTD
Ronnie Harrison,27,IND,S,10,2,2,0,0,0.0,0,0,0,1,0,0
Akayleb Evans,25,MIN,CB,7,2,1,1,0,0.0,0,0,0,0,0,0
Cole Christiansen,27,KAN,LB,9,2,2,0,0,0.0,0,0,0,0,0,0
Julius Wood,23,TEN,S,9,2,1,1,0,0.0,0,0,0,0,0,0
Brandon Pili,25,MIA,DT,8,2,1,1,0,0.0,0,0,0,0,0,0
Neil Farrell,26,MIA,DT,7,2,1,1,0,0.0,0,0,0,0,0,0
Eli Ricks,23,PHI,CB,7,2,1,1,0,0.0,0,0,0,0,0,0
Ochaun Mathis,25,NWE,OLB,5,2,1,1,0,0.0,0,0,0,1,0,0
Adrian Colbert,31,CHI,DB,5,2,1,1,0,0.0,0,0,0,0,0,0
Caleb Murphy,25,LAC,LB,3,2,1,1,0,0.0,0,0,0,0,0,0
Patrick O'Connell,26,SEA,LB,5,2,0,2,0,0.0,0,0,0,0,0,0
Lawrence Guy,34,CIN,DT,4,2,0,2,0,0.0,0,0,0,0,0,0
Eli Apple,29,LAC,CB,4,2,2,0,0,0.0,1,0,0,0,0,0
Kyu Blu Kelly,23,LVR,CB,4,2,1,1,0,0.0,0,0,0,0,0,0
Anthony Pittman,28,DET,LB,3,2,0,2,0,0.0,0,0,0,1,0,0
Kevon Seymour,31,WAS,CB,3,2,1,1,0,0.0,0,0,0,0,0,0
T.J. Smith,27,CAR,DT,3,2,0,2,0,0.0,0,0,0,0,0,0
Kenny Dyson,23,CAR,OLB,2,2,1,1,0,0.0,0,0,0,0,0,0
Faion Hicks,27,SEA,CB,2,2,1,1,0,0.0,0,0,0,0,0,0
Zion Logue,23,BUF,DT,2,2,2,0,0,0.0,0,0,0,0,0,0
T.Y. McGill,32,CLE,DT,1,2,1,1,0,0.0,0,0,0,0,0,0
Elerson Smith,26,CLE,DE,2,2,1,1,0,0.0,0,0,0,0,0,0
Miles Battle,24,NWE,CB,1,2,2,0,0,0.0,3,0,0,0,0,0
Marquise Blair,27,SEA,FS,1,2,2,0,0,0.0,0,0,0,0,0,0
Solomon Byrd,25,HOU,DE,1,2,2,0,0,0.0,1,0,0,0,0,0
Tony Fields,25,CLE,LB,1,2,1,1,0,0.0,0,0,0,0,0,0
Truman Jones,24,NWE,DE,1,2,2,0,0,0.0,0,0,0,0,0,0
Kendal Vickers,29,NOR,DT,1,2,1,1,0,0.0,0,0,0,0,0,0
AJ Finley,23,SEA,S,4,1,0,1,0,0.0,0,0,0,0,0,0
Raekwon McMillan,29,TEN,LB,2,1,0,1,0,0.0,0,0,0,0,0,0
Sam Webb,26,LVR,CB,11,1,0,1,0,0.0,0,0,0,0,0,0
Ka'dar Hollman,30,BAL,CB,3,1,0,1,0,0.0,0,0,0,0,0,0
Isaiah Land,24,IND,DE,10,1,1,0,1,0.0,0,0,0,0,0,0
Tyus Bowser,29,SEA,OLB,2,1,1,0,0,0.0,0,0,0,0,0,0
Jordan Phillips,32,DAL,DT,2,1,0,1,0,0.0,0,0,0,0,0,0
Mike Edwards,28,BUF,S,3,1,1,0,0,0.0,0,0,0,0,0,0
Trevor Denbow,26,IND,S,8,1,1,0,0,0.0,0,0,0,0,0,0
Antonio Grier,24,TAM,LB,7,1,1,0,0,0.0,0,0,0,0,0,0
Ochaun Mathis,25,PHI,OLB,1,1,1,0,0,0.0,0,0,0,0,0,0
Patrick McMorris,23,MIA,S,6,1,1,0,0,0.0,0,0,0,0,0,0
Ethan Bonner,25,MIA,CB,5,1,1,0,0,0.0,0,0,0,0,0,0
Kendell Brooks,24,TEN,S,5,1,0,1,0,0.0,0,0,0,0,0,0
Tre Flowers,29,IND,CB,1,1,0,1,0,0.0,0,0,0,0,0,0
Joe Giles-Harris,27,JAX,LB,2,1,0,1,0,0.0,0,0,0,0,0,0
Mohamed Kamara,25,MIA,LB,5,1,0,1,0,0.0,0,0,0,0,0,0
Caleb Murphy,25,TEN,OLB,2,1,1,0,0,0.0,0,0,0,0,0,0
Josh Woods,28,ATL,LB,5,1,1,0,0,0.0,0,0,0,0,0,0
Darren Hall,24,ARI,CB,4,1,1,0,0,0.0,0,0,0,0,0,0
Darius Harris,28,DAL,LB,4,1,0,1,0,0.0,0,0,0,0,0,0
Anthony Pittman,28,JAX,LB,1,1,1,0,0,0.0,0,0,0,0,0,0
Eku Leota,25,PIT,LB,1,1,1,0,0,0.0,0,0,0,0,0,0
Monty Rice,25,NWE,OLB,3,1,0,1,0,0.0,0,0,0,0,0,0
Andre Carter II,24,LVR,DE,3,1,0,1,0,0.5,0,0,0,0,0,0
Andre Chachere,28,ARI,S,3,1,0,1,0,0.0,0,0,0,0,0,0
Cameron Goode,26,MIA,LB,3,1,0,1,0,0.0,0,0,0,0,0,0
Tanoh Kpassagnon,30,NOR,DE,3,1,1,0,0,0.0,0,0,0,0,0,0
Tanner McCalister,24,DEN,S,3,1,0,1,0,0.0,0,0,0,0,0,0
Tanner Muse,28,JAX,LB,3,1,0,1,0,0.0,0,0,0,0,0,0
Bobby Price,26,WAS,CB,3,1,0,1,0,0.0,0,0,0,0,0,0
Sam Roberts,26,CAR,DT,3,1,0,1,0,0.0,0,0,0,0,0,0
Curtis Robinson,26,SFO,LB,3,1,1,0,0,0.0,0,0,0,0,0,0
Khalid Duke,23,TEN,OLB,2,1,1,0,0,0.0,0,0,0,0,0,0
Dallas Gant,24,PHI,LB,2,1,1,0,0,0.0,0,0,0,0,0,0
Andre Jones,26,WAS,DE,2,1,1,0,0,0.0,0,0,0,0,0,0
Deion Jones,30,TAM,MLB,2,1,1,0,0,0.0,0,0,0,0,0,0
Kelvin Joseph,25,IND,CB,2,1,1,0,0,0.0,0,0,0,0,0,0
William Kwenkeu,27,BAL,LB,2,1,0,1,0,0.0,0,0,0,0,0,0
Gabriel Murphy,24,MIN,OLB,2,1,1,0,0,0.0,0,0,0,0,0,0
Nik Needham,28,MIA,CB,2,1,0,1,0,0.0,0,0,0,0,0,0
Oshane Ximines,28,NWE,OLB,2,1,0,1,0,0.0,0,0,0,0,0,0
Shaquil Barrett,32,TAM,OLB,1,1,1,0,0,0.0,0,0,0,0,0,0
Andre' Sam,25,PHI,S,1,1,0,1,0,0.0,0,0,0,0,0,0
Duke Shelley,28,NYG,CB,1,1,1,0,0,0.0,0,0,0,0,0,0
Reddy Steward,23,CHI,CB,1,1,1,0,0,0.0,0,0,0,1,0,0
Russ Yeast,25,HOU,S,1,1,1,0,0,0.0,0,0,0,0,0,0
